 zone T = "Var            1 : Implicit",
 0.00000E+00  0.40302E+01
-0.10000E+00  0.40685E+01
-0.20000E+00  0.42223E+01
-0.30000E+00  0.36867E+01
-0.40000E+00  0.36374E+01
-0.50000E+00  0.46346E+01
-0.60000E+00  0.39931E+01
-0.70000E+00  0.39309E+01
-0.80000E+00  0.38923E+01
-0.90000E+00  0.38615E+01
-0.10000E+01  0.38392E+01
-0.11000E+01  0.38275E+01
-0.12000E+01  0.38264E+01
-0.13000E+01  0.38333E+01
-0.14000E+01  0.38439E+01
-0.15000E+01  0.38529E+01
-0.16000E+01  0.38559E+01
-0.17000E+01  0.38499E+01
-0.18000E+01  0.38333E+01
-0.19000E+01  0.38060E+01
-0.20000E+01  0.37683E+01
-0.21000E+01  0.37207E+01
-0.22000E+01  0.36639E+01
-0.23000E+01  0.35982E+01
-0.24000E+01  0.35244E+01
-0.25000E+01  0.34431E+01
-0.26000E+01  0.33555E+01
-0.27000E+01  0.32633E+01
-0.28000E+01  0.31699E+01
-0.29000E+01  0.30804E+01
-0.30000E+01  0.30006E+01
-0.31000E+01  0.29353E+01
-0.32000E+01  0.28870E+01
-0.33000E+01  0.28562E+01
-0.34000E+01  0.28423E+01
-0.35000E+01  0.28435E+01
-0.36000E+01  0.28577E+01
-0.37000E+01  0.28828E+01
-0.38000E+01  0.29166E+01
-0.39000E+01  0.29574E+01
-0.40000E+01  0.30034E+01
-0.41000E+01  0.30535E+01
-0.42000E+01  0.31065E+01
-0.43000E+01  0.31614E+01
-0.44000E+01  0.32175E+01
-0.45000E+01  0.32741E+01
-0.46000E+01  0.33306E+01
-0.47000E+01  0.33864E+01
-0.48000E+01  0.34412E+01
-0.49000E+01  0.34944E+01
-0.50000E+01  0.35458E+01
-0.51000E+01  0.35949E+01
-0.52000E+01  0.36416E+01
-0.53000E+01  0.36856E+01
-0.54000E+01  0.37266E+01
-0.55000E+01  0.37645E+01
-0.56000E+01  0.37993E+01
-0.57000E+01  0.38309E+01
-0.58000E+01  0.38593E+01
-0.59000E+01  0.38845E+01
-0.60000E+01  0.39066E+01
-0.61000E+01  0.39260E+01
-0.62000E+01  0.39426E+01
-0.63000E+01  0.39568E+01
-0.64000E+01  0.39687E+01
-0.65000E+01  0.39787E+01
-0.66000E+01  0.39871E+01
-0.67000E+01  0.39941E+01
-0.68000E+01  0.39997E+01
-0.69000E+01  0.40043E+01
-0.70000E+01  0.40079E+01
-0.71000E+01  0.40109E+01
-0.72000E+01  0.40134E+01
-0.73000E+01  0.40152E+01
-0.74000E+01  0.40169E+01
-0.75000E+01  0.40183E+01
-0.76000E+01  0.40191E+01
-0.77000E+01  0.40199E+01
-0.78000E+01  0.40206E+01
-0.79000E+01  0.40211E+01
-0.80000E+01  0.40216E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.12257E+01
-0.10000E+00  0.12548E+01
-0.20000E+00  0.12804E+01
-0.30000E+00  0.13028E+01
-0.40000E+00  0.13213E+01
-0.50000E+00  0.13350E+01
-0.60000E+00  0.13418E+01
-0.70000E+00  0.13425E+01
-0.80000E+00  0.13403E+01
-0.90000E+00  0.13363E+01
-0.10000E+01  0.13311E+01
-0.11000E+01  0.13250E+01
-0.12000E+01  0.13180E+01
-0.13000E+01  0.13098E+01
-0.14000E+01  0.13001E+01
-0.15000E+01  0.12884E+01
-0.16000E+01  0.12748E+01
-0.17000E+01  0.12595E+01
-0.18000E+01  0.12431E+01
-0.19000E+01  0.12269E+01
-0.20000E+01  0.12114E+01
-0.21000E+01  0.11977E+01
-0.22000E+01  0.11862E+01
-0.23000E+01  0.11771E+01
-0.24000E+01  0.11703E+01
-0.25000E+01  0.11655E+01
-0.26000E+01  0.11627E+01
-0.27000E+01  0.11613E+01
-0.28000E+01  0.11610E+01
-0.29000E+01  0.11615E+01
-0.30000E+01  0.11625E+01
-0.31000E+01  0.11638E+01
-0.32000E+01  0.11653E+01
-0.33000E+01  0.11669E+01
-0.34000E+01  0.11683E+01
-0.35000E+01  0.11695E+01
-0.36000E+01  0.11705E+01
-0.37000E+01  0.11714E+01
-0.38000E+01  0.11721E+01
-0.39000E+01  0.11726E+01
-0.40000E+01  0.11730E+01
-0.41000E+01  0.11733E+01
-0.42000E+01  0.11735E+01
-0.43000E+01  0.11737E+01
-0.44000E+01  0.11739E+01
-0.45000E+01  0.11740E+01
-0.46000E+01  0.11740E+01
-0.47000E+01  0.11741E+01
-0.48000E+01  0.11742E+01
-0.49000E+01  0.11742E+01
-0.50000E+01  0.11742E+01
-0.51000E+01  0.11743E+01
-0.52000E+01  0.11743E+01
-0.53000E+01  0.11743E+01
-0.54000E+01  0.11743E+01
-0.55000E+01  0.11743E+01
-0.56000E+01  0.11743E+01
-0.57000E+01  0.11743E+01
-0.58000E+01  0.11743E+01
-0.59000E+01  0.11743E+01
-0.60000E+01  0.11743E+01
-0.61000E+01  0.11743E+01
-0.62000E+01  0.11743E+01
-0.63000E+01  0.11743E+01
-0.64000E+01  0.11743E+01
-0.65000E+01  0.11743E+01
-0.66000E+01  0.11743E+01
-0.67000E+01  0.11743E+01
-0.68000E+01  0.11743E+01
-0.69000E+01  0.11743E+01
-0.70000E+01  0.11743E+01
-0.71000E+01  0.11743E+01
-0.72000E+01  0.11743E+01
-0.73000E+01  0.11743E+01
-0.74000E+01  0.11743E+01
-0.75000E+01  0.11743E+01
-0.76000E+01  0.11743E+01
-0.77000E+01  0.11743E+01
-0.78000E+01  0.11743E+01
-0.79000E+01  0.11743E+01
-0.80000E+01  0.11743E+01
 zone T = "Var            2 : Implicit",
 0.00000E+00  0.39691E+01
-0.10000E+00  0.39853E+01
-0.20000E+00  0.40002E+01
-0.30000E+00  0.40164E+01
-0.40000E+00  0.40289E+01
-0.50000E+00  0.40138E+01
-0.60000E+00  0.39682E+01
-0.70000E+00  0.39152E+01
-0.80000E+00  0.38607E+01
-0.90000E+00  0.38017E+01
-0.10000E+01  0.37187E+01
-0.11000E+01  0.36110E+01
-0.12000E+01  0.35329E+01
-0.13000E+01  0.33974E+01
-0.14000E+01  0.34098E+01
-0.15000E+01  0.33268E+01
-0.16000E+01  0.32085E+01
-0.17000E+01  0.30383E+01
-0.18000E+01  0.29750E+01
-0.19000E+01  0.26950E+01
-0.20000E+01  0.26810E+01
-0.21000E+01  0.25289E+01
-0.22000E+01  0.24374E+01
-0.23000E+01  0.23491E+01
-0.24000E+01  0.22691E+01
-0.25000E+01  0.21961E+01
-0.26000E+01  0.21171E+01
-0.27000E+01  0.20436E+01
-0.28000E+01  0.19809E+01
-0.29000E+01  0.19267E+01
-0.30000E+01  0.18668E+01
-0.31000E+01  0.18152E+01
-0.32000E+01  0.18227E+01
-0.33000E+01  0.17996E+01
-0.34000E+01  0.16713E+01
-0.35000E+01  0.17610E+01
-0.36000E+01  0.17565E+01
-0.37000E+01  0.17518E+01
-0.38000E+01  0.17511E+01
-0.39000E+01  0.17433E+01
-0.40000E+01  0.17512E+01
-0.41000E+01  0.18424E+01
-0.42000E+01  0.19059E+01
-0.43000E+01  0.19650E+01
-0.44000E+01  0.20219E+01
-0.45000E+01  0.20756E+01
-0.46000E+01  0.21174E+01
-0.47000E+01  0.21850E+01
-0.48000E+01  0.22440E+01
-0.49000E+01  0.22833E+01
-0.50000E+01  0.23175E+01
-0.51000E+01  0.24192E+01
-0.52000E+01  0.24782E+01
-0.53000E+01  0.25376E+01
-0.54000E+01  0.25921E+01
-0.55000E+01  0.26430E+01
-0.56000E+01  0.26911E+01
-0.57000E+01  0.27365E+01
-0.58000E+01  0.27793E+01
-0.59000E+01  0.28200E+01
-0.60000E+01  0.28594E+01
-0.61000E+01  0.28936E+01
-0.62000E+01  0.29250E+01
-0.63000E+01  0.29550E+01
-0.64000E+01  0.29832E+01
-0.65000E+01  0.30097E+01
-0.66000E+01  0.30348E+01
-0.67000E+01  0.30589E+01
-0.68000E+01  0.30831E+01
-0.69000E+01  0.31103E+01
-0.70000E+01  0.31798E+01
-0.71000E+01  0.31367E+01
