 zone T = "Var            1 : Implicit",
 0.00000E+00  0.38975E+01
-0.10000E+00  0.39249E+01
-0.20000E+00  0.39417E+01
-0.30000E+00  0.39486E+01
-0.40000E+00  0.39420E+01
-0.50000E+00  0.38986E+01
-0.60000E+00  0.40486E+01
-0.70000E+00  0.39430E+01
-0.80000E+00  0.39026E+01
-0.90000E+00  0.38642E+01
-0.10000E+01  0.38220E+01
-0.11000E+01  0.37730E+01
-0.12000E+01  0.37142E+01
-0.13000E+01  0.36416E+01
-0.14000E+01  0.35489E+01
-0.15000E+01  0.34177E+01
-0.16000E+01  0.32938E+01
-0.17000E+01  0.29448E+01
-0.18000E+01  0.30358E+01
-0.19000E+01  0.29085E+01
-0.20000E+01  0.28347E+01
-0.21000E+01  0.27341E+01
-0.22000E+01  0.26885E+01
-0.23000E+01  0.26133E+01
-0.24000E+01  0.25658E+01
-0.25000E+01  0.25510E+01
-0.26000E+01  0.25274E+01
-0.27000E+01  0.25251E+01
-0.28000E+01  0.25401E+01
-0.29000E+01  0.25511E+01
-0.30000E+01  0.26065E+01
-0.31000E+01  0.26774E+01
-0.32000E+01  0.27537E+01
-0.33000E+01  0.28424E+01
-0.34000E+01  0.29428E+01
-0.35000E+01  0.30595E+01
-0.36000E+01  0.31941E+01
-0.37000E+01  0.32832E+01
-0.38000E+01  0.33946E+01
-0.39000E+01  0.35087E+01
-0.40000E+01  0.36156E+01
-0.41000E+01  0.37258E+01
-0.42000E+01  0.38226E+01
-0.43000E+01  0.39250E+01
-0.44000E+01  0.40087E+01
-0.45000E+01  0.41151E+01
-0.46000E+01  0.41955E+01
-0.47000E+01  0.42374E+01
-0.48000E+01  0.42584E+01
-0.49000E+01  0.42829E+01
-0.50000E+01  0.43003E+01
-0.51000E+01  0.42946E+01
-0.52000E+01  0.42464E+01
-0.53000E+01  0.41754E+01
-0.54000E+01  0.41418E+01
-0.55000E+01  0.41206E+01
-0.56000E+01  0.41058E+01
-0.57000E+01  0.40951E+01
-0.58000E+01  0.40871E+01
-0.59000E+01  0.40811E+01
-0.60000E+01  0.40765E+01
-0.61000E+01  0.40730E+01
-0.62000E+01  0.40703E+01
-0.63000E+01  0.40681E+01
-0.64000E+01  0.40665E+01
-0.65000E+01  0.40652E+01
-0.66000E+01  0.40641E+01
-0.67000E+01  0.40632E+01
-0.68000E+01  0.40626E+01
-0.69000E+01  0.40621E+01
-0.70000E+01  0.40618E+01
-0.71000E+01  0.40614E+01
-0.72000E+01  0.40612E+01
-0.73000E+01  0.40610E+01
-0.74000E+01  0.40608E+01
-0.75000E+01  0.40606E+01
-0.76000E+01  0.40606E+01
-0.77000E+01  0.40605E+01
-0.78000E+01  0.40604E+01
-0.79000E+01  0.40604E+01
-0.80000E+01  0.40603E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.20286E+01
-0.10000E+00  0.20366E+01
-0.20000E+00  0.20436E+01
-0.30000E+00  0.20495E+01
-0.40000E+00  0.20549E+01
-0.50000E+00  0.20602E+01
-0.60000E+00  0.20646E+01
-0.70000E+00  0.20676E+01
-0.80000E+00  0.20699E+01
-0.90000E+00  0.20714E+01
-0.10000E+01  0.20718E+01
-0.11000E+01  0.20713E+01
-0.12000E+01  0.20701E+01
-0.13000E+01  0.20686E+01
-0.14000E+01  0.20668E+01
-0.15000E+01  0.20647E+01
-0.16000E+01  0.20622E+01
-0.17000E+01  0.20592E+01
-0.18000E+01  0.20556E+01
-0.19000E+01  0.20515E+01
-0.20000E+01  0.20473E+01
-0.21000E+01  0.20430E+01
-0.22000E+01  0.20390E+01
-0.23000E+01  0.20352E+01
-0.24000E+01  0.20319E+01
-0.25000E+01  0.20290E+01
-0.26000E+01  0.20266E+01
-0.27000E+01  0.20246E+01
-0.28000E+01  0.20230E+01
-0.29000E+01  0.20218E+01
-0.30000E+01  0.20208E+01
-0.31000E+01  0.20201E+01
-0.32000E+01  0.20196E+01
-0.33000E+01  0.20193E+01
-0.34000E+01  0.20190E+01
-0.35000E+01  0.20189E+01
-0.36000E+01  0.20187E+01
-0.37000E+01  0.20187E+01
-0.38000E+01  0.20186E+01
-0.39000E+01  0.20186E+01
