 zone T = "Var            1 : Implicit",
 0.00000E+00  0.38382E+01
-0.10000E+00  0.38290E+01
-0.20000E+00  0.38144E+01
-0.30000E+00  0.37917E+01
-0.40000E+00  0.37531E+01
-0.50000E+00  0.36954E+01
-0.60000E+00  0.36121E+01
-0.70000E+00  0.34936E+01
-0.80000E+00  0.33154E+01
-0.90000E+00  0.30536E+01
-0.10000E+01  0.30472E+01
-0.11000E+01  0.29818E+01
-0.12000E+01  0.29729E+01
-0.13000E+01  0.28654E+01
-0.14000E+01  0.27544E+01
-0.15000E+01  0.26818E+01
-0.16000E+01  0.36353E+01
-0.17000E+01  0.27064E+01
-0.18000E+01  0.26836E+01
-0.19000E+01  0.31371E+01
-0.20000E+01  0.36046E+01
-0.21000E+01  0.31585E+01
-0.22000E+01  0.30464E+01
-0.23000E+01  0.30847E+01
-0.24000E+01  0.31303E+01
-0.25000E+01  0.28489E+01
-0.26000E+01  0.29008E+01
-0.27000E+01  0.30025E+01
-0.28000E+01  0.30866E+01
-0.29000E+01  0.30879E+01
-0.30000E+01  0.32784E+01
-0.31000E+01  0.32436E+01
-0.32000E+01  0.33645E+01
-0.33000E+01  0.34106E+01
-0.34000E+01  0.37006E+01
-0.35000E+01  0.38316E+01
-0.36000E+01  0.38703E+01
-0.37000E+01  0.39907E+01
-0.38000E+01  0.39751E+01
-0.39000E+01  0.40839E+01
-0.40000E+01  0.40606E+01
-0.41000E+01  0.40693E+01
-0.42000E+01  0.40712E+01
-0.43000E+01  0.41310E+01
-0.44000E+01  0.40873E+01
-0.45000E+01  0.40722E+01
-0.46000E+01  0.40684E+01
-0.47000E+01  0.40689E+01
-0.48000E+01  0.40704E+01
-0.49000E+01  0.40729E+01
-0.50000E+01  0.40755E+01
-0.51000E+01  0.40782E+01
-0.52000E+01  0.40804E+01
-0.53000E+01  0.40822E+01
-0.54000E+01  0.40841E+01
-0.55000E+01  0.40857E+01
-0.56000E+01  0.40864E+01
-0.57000E+01  0.40873E+01
-0.58000E+01  0.40883E+01
-0.59000E+01  0.40889E+01
-0.60000E+01  0.40891E+01
-0.61000E+01  0.40900E+01
-0.62000E+01  0.40902E+01
-0.63000E+01  0.40907E+01
-0.64000E+01  0.40904E+01
-0.65000E+01  0.40909E+01
-0.66000E+01  0.40907E+01
-0.67000E+01  0.40912E+01
-0.68000E+01  0.40913E+01
-0.69000E+01  0.40911E+01
-0.70000E+01  0.40915E+01
-0.71000E+01  0.40913E+01
-0.72000E+01  0.40915E+01
-0.73000E+01  0.40914E+01
-0.74000E+01  0.40916E+01
-0.75000E+01  0.40914E+01
-0.76000E+01  0.40915E+01
-0.77000E+01  0.40915E+01
-0.78000E+01  0.40913E+01
-0.79000E+01  0.40917E+01
-0.80000E+01  0.40913E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.17101E+01
-0.10000E+00  0.16869E+01
-0.20000E+00  0.16560E+01
-0.30000E+00  0.16131E+01
-0.40000E+00  0.15481E+01
-0.50000E+00  0.14098E+01
-0.60000E+00  0.14678E+01
-0.70000E+00  0.15554E+01
-0.80000E+00  0.16004E+01
-0.90000E+00  0.16305E+01
-0.10000E+01  0.16523E+01
-0.11000E+01  0.16686E+01
-0.12000E+01  0.16812E+01
-0.13000E+01  0.16911E+01
-0.14000E+01  0.16990E+01
-0.15000E+01  0.17053E+01
-0.16000E+01  0.23843E+01
-0.17000E+01  0.17146E+01
-0.18000E+01  0.17179E+01
-0.19000E+01  0.21038E+01
-0.20000E+01  0.23683E+01
-0.21000E+01  0.21100E+01
-0.22000E+01  0.19567E+01
-0.23000E+01  0.19653E+01
-0.24000E+01  0.19594E+01
-0.25000E+01  0.17280E+01
-0.26000E+01  0.17284E+01
-0.27000E+01  0.17287E+01
-0.28000E+01  0.17289E+01
-0.29000E+01  0.17290E+01
